iter	Passed	Remaining
0	1	144
1	2	133
2	3	127
3	5	124
4	6	122
5	7	119
6	8	117
7	10	116
8	11	114
9	12	112
10	13	110
11	14	109
12	16	108
13	17	106
14	18	106
15	19	104
16	21	102
17	22	101
18	23	100
19	24	99
20	25	97
21	27	96
22	28	95
23	29	93
24	30	92
25	32	91
26	33	90
27	34	89
28	35	87
29	37	86
30	38	85
31	39	83
32	40	82
33	41	81
34	43	80
35	44	78
36	45	77
37	46	76
38	48	75
39	49	74
40	50	72
41	51	71
42	52	70
43	54	68
44	55	67
45	56	66
46	57	65
47	58	63
48	60	62
49	61	61
50	62	60
51	63	59
52	65	57
53	66	56
54	67	55
55	68	54
56	70	52
57	71	51
58	72	50
59	73	49
60	74	47
61	75	46
62	76	45
63	78	43
64	79	42
65	80	41
66	81	40
67	82	39
68	84	37
69	85	36
70	86	35
71	87	34
72	88	32
73	90	31
74	91	30
75	92	29
76	93	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	101	20
83	102	19
84	103	18
85	105	17
86	106	15
87	107	14
88	108	13
89	110	12
90	111	11
91	112	9
92	113	8
93	115	7
94	117	6
95	118	4
96	120	3
97	121	2
98	123	1
99	124	0
