iter	Passed	Remaining
0	142	142769
1	144	72040
2	147	48899
3	150	37530
4	153	30486
5	154	25636
6	156	22242
7	159	19786
8	161	17786
9	163	16168
10	165	14889
11	167	13789
12	169	12844
13	178	12569
14	180	11879
15	182	11251
16	184	10674
17	185	10142
18	188	9715
19	191	9404
20	193	9027
21	195	8674
22	196	8351
23	198	8053
24	200	7827
25	206	7749
26	208	7523
27	210	7298
28	213	7151
29	214	6949
30	216	6761
31	220	6675
32	222	6522
33	225	6417
34	227	6280
35	229	6140
36	231	6018
37	235	5953
38	236	5837
39	238	5720
40	239	5610
41	241	5504
42	243	5408
43	247	5388
44	250	5306
45	252	5226
46	253	5140
47	254	5052
48	256	4969
49	257	4889
50	258	4813
51	262	4781
52	263	4713
53	265	4643
54	266	4575
55	267	4513
56	269	4454
57	270	4393
58	273	4355
59	276	4337
60	278	4285
61	280	4237
62	281	4191
63	283	4141
64	284	4095
65	286	4050
66	289	4034
67	291	4001
68	294	3971
69	297	3954
70	298	3911
71	300	3869
72	305	3885
73	308	3856
74	310	3832
75	312	3795
76	314	3766
77	316	3745
78	320	3733
79	321	3699
80	323	3665
81	324	3634
82	325	3594
83	328	3577
84	332	3573
85	334	3553
86	336	3529
87	337	3502
88	339	3472
89	340	3443
90	341	3414
91	346	3419
92	348	3397
93	350	3377
94	353	3370
95	355	3345
96	357	3323
97	362	3340
98	364	3318
99	366	3298
100	369	3285
101	371	3270
102	378	3293
103	380	3275
104	381	3253
105	383	3232
106	384	3209
107	385	3186
108	387	3164
109	392	3179
110	395	3167
111	396	3145
112	398	3125
113	399	3106
114	401	3088
115	402	3067
116	405	3056
117	407	3048
118	409	3034
119	411	3015
120	412	2996
121	413	2975
122	414	2957
123	416	2941
124	418	2929
125	421	2920
126	422	2904
127	423	2887
128	426	2876
129	428	2869
130	430	2856
131	431	2839
132	434	2835
133	436	2822
134	438	2811
135	440	2795
136	441	2780
137	442	2767
138	444	2754
139	445	2739
140	449	2737
141	450	2721
142	451	2708
143	453	2695
144	454	2682
145	456	2668
146	457	2654
147	458	2640
148	460	2628
149	464	2629
150	465	2620
151	467	2607
152	469	2599
153	471	2587
154	472	2575
155	473	2562
156	474	2550
157	477	2542
158	480	2541
159	482	2531
160	482	2516
161	484	2504
162	485	2493
163	487	2483
164	488	2473
165	490	2462
166	493	2460
167	497	2462
168	498	2452
169	500	2442
170	502	2435
171	503	2424
172	506	2422
173	509	2416
174	510	2408
175	512	2398
176	513	2389
177	515	2380
178	516	2369
179	518	2359
180	519	2350
181	523	2351
182	524	2343
183	526	2334
184	527	2324
185	528	2314
186	530	2305
187	531	2296
188	533	2288
189	535	2282
190	538	2278
191	540	2273
192	541	2264
193	542	2255
194	544	2246
195	545	2237
196	547	2229
197	548	2222
198	552	2225
199	554	2218
200	556	2210
201	557	2203
202	559	2195
203	560	2186
204	562	2180
205	567	2189
206	570	2184
207	571	2176
208	572	2168
209	574	2160
210	575	2152
211	576	2144
212	578	2136
213	581	2134
214	583	2128
215	585	2124
216	587	2118
217	588	2110
218	589	2102
219	590	2094
220	592	2087
221	593	2080
222	596	2077
223	597	2070
224	599	2063
225	600	2056
226	601	2049
227	603	2042
228	604	2034
229	605	2027
230	606	2020
231	608	2015
232	611	2012
233	612	2005
234	613	1998
235	615	1991
236	616	1984
237	617	1977
238	618	1970
239	620	1963
240	621	1956
241	622	1949
242	625	1949
243	627	1943
244	628	1937
245	629	1930
246	631	1924
247	632	1917
248	633	1911
249	634	1904
250	636	1898
251	639	1897
252	641	1895
253	643	1889
254	644	1883
255	646	1877
256	648	1873
257	649	1867
258	650	1861
259	651	1855
260	654	1853
261	656	1849
262	658	1845
263	659	1839
264	660	1833
265	662	1827
266	663	1821
267	664	1815
268	666	1809
269	667	1804
270	669	1802
271	671	1797
272	672	1792
273	674	1786
274	675	1780
275	676	1775
276	678	1769
277	679	1764
278	680	1758
279	682	1754
280	684	1751
281	686	1748
282	688	1743
283	689	1738
284	690	1732
285	692	1727
286	693	1722
287	694	1716
288	695	1711
289	698	1710
290	700	1707
291	703	1705
292	704	1701
293	706	1695
294	707	1690
295	708	1685
296	710	1680
297	711	1676
298	714	1674
299	715	1669
300	717	1665
301	718	1660
302	719	1655
303	720	1650
304	722	1645
305	723	1640
306	724	1635
307	728	1637
308	730	1634
309	732	1629
310	733	1625
311	735	1621
312	737	1618
313	738	1613
314	740	1609
315	743	1610
316	745	1606
317	747	1603
318	748	1598
319	750	1593
320	751	1589
321	752	1584
322	753	1580
323	755	1575
324	757	1574
325	759	1570
326	761	1567
327	763	1563
328	764	1560
329	766	1555
330	767	1551
331	768	1546
332	772	1547
333	774	1543
334	775	1539
335	776	1535
336	778	1531
337	779	1527
338	781	1523
339	782	1518
340	783	1514
341	786	1512
342	789	1511
343	790	1507
344	792	1505
345	794	1501
346	795	1497
347	796	1493
348	798	1488
349	799	1484
350	802	1483
351	804	1480
352	805	1476
353	807	1472
354	809	1470
355	810	1465
356	811	1461
357	812	1457
358	814	1453
359	818	1455
360	820	1451
361	821	1447
362	822	1443
363	824	1439
364	825	1435
365	826	1431
366	827	1427
367	829	1423
368	833	1424
369	834	1421
370	836	1417
371	838	1414
372	841	1413
373	842	1410
374	843	1406
375	846	1404
376	848	1401
377	849	1397
378	850	1393
379	851	1389
380	852	1385
381	854	1382
382	855	1378
383	856	1374
384	858	1370
385	859	1366
386	861	1364
387	863	1361
388	864	1357
389	865	1354
390	867	1350
391	868	1346
392	869	1343
393	870	1339
394	872	1335
395	873	1331
396	878	1334
397	880	1331
398	882	1329
399	884	1326
400	885	1323
401	887	1319
402	888	1316
403	892	1316
404	894	1313
405	895	1310
406	896	1306
407	898	1303
408	899	1300
409	901	1296
410	902	1293
411	906	1293
412	907	1290
413	909	1287
414	910	1283
415	912	1280
416	913	1277
417	915	1274
418	916	1271
419	921	1271
420	924	1271
421	926	1269
422	929	1268
423	931	1265
424	933	1263
425	935	1260
426	936	1257
427	938	1253
428	939	1250
429	940	1246
430	942	1243
431	943	1240
432	944	1236
433	945	1233
434	948	1231
435	949	1228
436	950	1225
437	952	1221
438	953	1218
439	954	1215
440	956	1212
441	957	1209
442	959	1206
443	965	1209
444	970	1209
445	971	1206
446	973	1204
447	974	1201
448	979	1202
449	981	1199
